user_id,age,gender
1000,58,男
1001,19,女
1002,33,男
1003,26,男
1004,61,男
1005,55,女
1006,20,男
1007,23,男
1008,32,男
1009,53,男
1010,63,女
1011,32,女
1012,55,女
1013,18,男
1014,62,女
1015,39,女
1016,27,男
1017,39,男
1018,23,女
1019,24,女
1020,40,女
1021,20,女
1022,52,男
1023,42,男
1024,53,女
1025,58,女
1026,54,男
1027,63,男
1028,20,男
1029,36,男
1030,32,男
1031,42,女
1032,47,女
1033,28,女
1034,40,男
1035,60,女
1036,62,男
1037,56,男
1038,52,男
1039,28,女
1040,42,女
1041,58,男
1042,61,女
1043,21,男
1044,20,女
1045,43,女
1046,22,男
1047,54,女
1048,31,女
1049,43,女
1050,27,女
1051,26,男
1052,65,女
1053,65,女
1054,55,女
1055,41,男
1056,26,女
1057,23,男
1058,25,男
1059,58,男
1060,61,女
1061,56,男
1062,42,女
1063,56,女
1064,51,女
1065,53,男
1066,61,男
1067,61,女
1068,59,女
1069,25,女
1070,45,男
1071,47,男
1072,64,女
1073,50,男
1074,50,男
1075,58,女
1076,58,男
1077,27,女
1078,28,男
1079,56,女
1080,49,男
1081,25,女
1082,37,男
1083,21,男
1084,54,男
1085,23,女
1086,22,男
1087,26,女
1088,53,男
1089,34,女
1090,31,男
1091,63,女
1092,43,女
1093,46,女
1094,25,男
1095,32,男
1096,39,男
1097,55,男
1098,55,男
1099,18,男
1100,63,男
1101,32,男
1102,20,女
1103,22,男
1104,35,女
1105,31,男
1106,64,女
1107,33,女
1108,44,男
1109,24,男
1110,60,女
1111,40,女
1112,44,女
1113,64,男
1114,61,男
1115,21,女
1116,64,女
1117,24,男
1118,30,男
1119,52,女
1120,26,女
1121,29,女
1122,47,男
1123,22,女
1124,53,男
1125,21,男
1126,23,男
1127,28,女
1128,49,女
1129,31,女
1130,21,男
1131,42,男
1132,42,女
1133,47,女
1134,45,女
1135,27,男
1136,36,男
1137,21,男
1138,65,女
1139,21,男
1140,55,女
1141,50,男
1142,21,男
1143,29,男
1144,56,男
1145,61,男
1146,43,男
1147,54,男
1148,55,男
1149,57,男
1150,44,女
1151,34,男
1152,60,女
1153,33,女
1154,43,男
1155,60,女
1156,47,女
1157,22,男
1158,47,男
1159,22,男
1160,50,女
1161,26,女
1162,22,男
1163,41,女
1164,28,女
1165,52,女
1166,57,男
1167,60,女
1168,60,男
1169,26,女
1170,25,男
1171,65,男
1172,35,女
1173,56,男
1174,63,女
1175,31,女
1176,50,女
1177,34,男
1178,23,女
1179,35,男
1180,18,女
1181,26,女
1182,28,女
1183,53,女
1184,53,男
1185,25,男
1186,62,男
1187,52,男
1188,41,男
1189,45,男
1190,20,女
1191,41,男
1192,40,男
1193,61,男
1194,60,男
1195,40,女
1196,57,男
1197,33,男
1198,29,女
1199,19,男
1200,65,女
1201,44,男
1202,35,男
1203,62,男
1204,42,男
1205,48,男
1206,30,女
1207,40,女
1208,32,男
1209,19,男
1210,43,女
1211,35,男
1212,35,女
1213,59,女
1214,61,女
1215,19,男
1216,34,男
1217,55,女
1218,20,男
1219,56,女
1220,40,女
1221,45,男
1222,42,男
1223,34,男
1224,63,女
1225,18,男
1226,41,女
1227,22,女
1228,57,女
1229,60,男
1230,64,女
1231,50,女
1232,60,女
1233,38,女
1234,62,女
1235,53,男
1236,30,女
1237,60,女
1238,61,男
1239,57,女
1240,43,男
1241,37,女
1242,31,女
1243,55,女
1244,47,女
1245,46,男
1246,50,女
1247,65,男
1248,60,男
1249,36,女
1250,23,男
1251,61,女
1252,32,男
1253,27,男
1254,20,男
1255,48,男
1256,47,女
1257,58,男
1258,63,女
1259,49,女
1260,33,男
1261,59,男
1262,24,女
1263,32,男
1264,62,女
1265,21,男
1266,25,女
1267,26,女
1268,60,女
1269,46,女
1270,53,女
1271,28,女
1272,46,女
1273,33,女
1274,51,女
1275,58,男
1276,35,女
1277,22,女
1278,33,女
1279,39,女
1280,52,男
1281,26,男
1282,32,女
