user_id,item_id,interaction_type,interaction_time
1000,2000,加入购物车,2025-09-11
1000,2003,点击,2025-09-25
1000,2018,收藏,2025-09-19
1001,2006,加入购物车,2025-09-27
1001,2003,收藏,2025-09-28
1001,2029,收藏,2025-09-03
1001,2002,点击,2025-09-08
1001,2015,收藏,2025-09-30
1001,2021,购买,2025-09-10
1001,2008,点击,2025-09-11
1002,2003,收藏,2025-09-05
1002,2006,购买,2025-09-11
1002,2002,点击,2025-09-19
1002,2020,收藏,2025-09-17
1002,2021,点击,2025-09-17
1002,2018,点击,2025-09-25
1003,2026,点击,2025-09-08
1003,2011,点击,2025-09-03
1003,2028,点击,2025-09-24
1004,2008,购买,2025-09-27
1004,2007,购买,2025-09-27
1004,2028,加入购物车,2025-09-29
1004,2004,加入购物车,2025-09-18
1004,2027,购买,2025-09-14
1004,2013,购买,2025-09-29
1004,2009,点击,2025-09-20
1004,2012,点击,2025-09-23
1005,2021,点击,2025-09-23
1005,2024,点击,2025-09-27
1005,2025,点击,2025-09-20
1005,2011,点击,2025-09-19
1005,2007,加入购物车,2025-09-23
1005,2015,点击,2025-09-20
1005,2006,点击,2025-09-04
1005,2027,加入购物车,2025-09-20
1005,2018,点击,2025-09-29
1006,2029,加入购物车,2025-09-14
1006,2019,点击,2025-09-17
1006,2015,购买,2025-09-22
1006,2002,购买,2025-09-20
1006,2022,点击,2025-09-23
1006,2006,收藏,2025-09-10
1006,2007,点击,2025-09-13
1006,2003,购买,2025-09-19
1006,2000,收藏,2025-09-17
1006,2023,点击,2025-09-13
1007,2008,点击,2025-09-21
1007,2023,购买,2025-09-09
1007,2007,点击,2025-09-19
1008,2026,收藏,2025-09-02
1008,2022,加入购物车,2025-09-26
1008,2002,点击,2025-09-15
1008,2028,点击,2025-09-19
1008,2020,加入购物车,2025-09-25
1008,2018,购买,2025-09-12
1008,2004,点击,2025-09-09
1008,2029,点击,2025-09-29
1009,2009,购买,2025-09-30
1009,2008,加入购物车,2025-09-26
1009,2018,收藏,2025-09-02
1009,2028,点击,2025-09-26
1009,2007,购买,2025-09-13
1009,2019,收藏,2025-09-04
1009,2024,购买,2025-09-09
1009,2027,点击,2025-09-14
1010,2006,点击,2025-09-16
1010,2015,点击,2025-09-04
1010,2014,购买,2025-09-03
1010,2002,收藏,2025-09-21
1010,2017,点击,2025-09-11
1010,2027,收藏,2025-09-16
1010,2022,点击,2025-09-01
1010,2025,购买,2025-09-29
1010,2029,购买,2025-09-28
1011,2013,加入购物车,2025-09-08
1011,2000,购买,2025-09-03
1011,2007,加入购物车,2025-09-18
1011,2002,点击,2025-09-10
1012,2017,点击,2025-09-16
1012,2002,点击,2025-09-25
1012,2028,购买,2025-09-14
1012,2004,购买,2025-09-02
1012,2008,点击,2025-09-30
1012,2024,收藏,2025-09-16
1013,2026,点击,2025-09-23
1013,2025,点击,2025-09-20
1013,2021,点击,2025-09-17
1013,2013,收藏,2025-09-15
1013,2017,点击,2025-09-21
1013,2001,加入购物车,2025-09-08
1013,2029,点击,2025-09-03
1014,2025,点击,2025-09-25
1014,2019,加入购物车,2025-09-09
1014,2029,点击,2025-09-22
1014,2021,点击,2025-09-06
1014,2004,点击,2025-09-02
1014,2007,收藏,2025-09-25
1014,2013,点击,2025-09-15
1014,2027,点击,2025-09-19
1014,2022,收藏,2025-09-05
1015,2022,收藏,2025-09-05
1015,2024,收藏,2025-09-27
1015,2020,点击,2025-09-12
1015,2011,点击,2025-09-16
1016,2022,加入购物车,2025-09-22
1016,2018,购买,2025-09-11
1016,2009,收藏,2025-09-28
1016,2013,点击,2025-09-03
1016,2025,收藏,2025-09-02
1016,2008,收藏,2025-09-16
1016,2024,收藏,2025-09-01
1017,2023,点击,2025-09-26
1017,2025,收藏,2025-09-11
1017,2006,加入购物车,2025-09-29
1017,2011,加入购物车,2025-09-01
1018,2003,收藏,2025-09-18
1018,2028,点击,2025-09-13
1018,2013,加入购物车,2025-09-10
1018,2002,购买,2025-09-28
1018,2018,加入购物车,2025-09-01
1018,2008,购买,2025-09-20
1018,2021,点击,2025-09-02
1018,2004,点击,2025-09-03
1018,2017,加入购物车,2025-09-13
1018,2027,收藏,2025-09-24
1019,2018,加入购物车,2025-09-17
1019,2020,购买,2025-09-07
1019,2005,点击,2025-09-26
1019,2024,点击,2025-09-28
1019,2019,加入购物车,2025-09-26
1019,2009,购买,2025-09-19
1019,2000,加入购物车,2025-09-12
1019,2002,点击,2025-09-16
1019,2008,购买,2025-09-10
1019,2010,收藏,2025-09-16
1020,2002,加入购物车,2025-09-11
1020,2028,加入购物车,2025-09-12
1020,2024,加入购物车,2025-09-16
1020,2006,加入购物车,2025-09-14
1020,2004,点击,2025-09-01
1020,2029,收藏,2025-09-06
1020,2020,点击,2025-09-10
1020,2011,购买,2025-09-19
1021,2022,点击,2025-09-05
1021,2027,点击,2025-09-10
1021,2007,点击,2025-09-18
1021,2009,点击,2025-09-25
1021,2008,购买,2025-09-25
1022,2006,点击,2025-09-23
1022,2029,点击,2025-09-20
1022,2016,收藏,2025-09-11
1022,2007,点击,2025-09-21
1022,2028,加入购物车,2025-09-04
1022,2021,加入购物车,2025-09-29
1022,2003,购买,2025-09-11
1023,2002,加入购物车,2025-09-14
1023,2000,购买,2025-09-23
1023,2004,点击,2025-09-15
1023,2008,加入购物车,2025-09-29
1023,2021,点击,2025-09-22
1023,2019,点击,2025-09-29
1023,2028,收藏,2025-09-01
1023,2018,点击,2025-09-17
1024,2027,购买,2025-09-05
1024,2029,收藏,2025-09-17
1024,2011,点击,2025-09-12
1025,2029,收藏,2025-09-20
1025,2009,收藏,2025-09-08
1025,2025,点击,2025-09-11
1025,2021,加入购物车,2025-09-24
1025,2022,点击,2025-09-12
1025,2023,购买,2025-09-01
1025,2017,收藏,2025-09-24
1025,2019,收藏,2025-09-12
1025,2008,点击,2025-09-25
1025,2012,点击,2025-09-18
1026,2029,点击,2025-09-21
1026,2007,收藏,2025-09-23
1026,2011,点击,2025-09-22
1027,2027,点击,2025-09-04
1027,2004,加入购物车,2025-09-03
1027,2005,点击,2025-09-09
1027,2003,点击,2025-09-10
1027,2026,收藏,2025-09-03
1027,2011,点击,2025-09-14
1027,2025,收藏,2025-09-07
1027,2002,加入购物车,2025-09-28
1027,2008,点击,2025-09-04
1027,2006,点击,2025-09-01
1028,2006,加入购物车,2025-09-22
1028,2013,收藏,2025-09-09
1028,2029,加入购物车,2025-09-12
1028,2027,点击,2025-09-06
1028,2004,购买,2025-09-30
1029,2027,点击,2025-09-03
1029,2022,收藏,2025-09-03
1029,2003,加入购物车,2025-09-14
1029,2013,购买,2025-09-01
1029,2026,收藏,2025-09-26
1030,2002,点击,2025-09-25
1030,2025,收藏,2025-09-16
1030,2004,购买,2025-09-12
1030,2020,收藏,2025-09-17
1030,2027,收藏,2025-09-08
1030,2013,加入购物车,2025-09-09
1030,2026,加入购物车,2025-09-09
1030,2011,点击,2025-09-04
1030,2024,加入购物车,2025-09-25
1030,2019,点击,2025-09-14
1031,2021,加入购物车,2025-09-23
1031,2008,收藏,2025-09-29
1031,2010,加入购物车,2025-09-29
1032,2011,点击,2025-09-29
1032,2019,点击,2025-09-30
1032,2000,购买,2025-09-23
1032,2026,收藏,2025-09-19
1032,2012,点击,2025-09-15
1032,2015,点击,2025-09-28
1032,2023,点击,2025-09-22
1032,2001,点击,2025-09-24
1032,2008,收藏,2025-09-03
1032,2027,点击,2025-09-01
1033,2019,点击,2025-09-15
1033,2013,点击,2025-09-04
1033,2026,点击,2025-09-03
1033,2007,点击,2025-09-06
1033,2018,收藏,2025-09-25
1034,2023,点击,2025-09-20
1034,2005,点击,2025-09-16
1034,2028,点击,2025-09-12
1034,2026,点击,2025-09-05
1034,2019,加入购物车,2025-09-24
1034,2027,点击,2025-09-19
1035,2018,点击,2025-09-03
1035,2024,收藏,2025-09-26
1035,2007,收藏,2025-09-04
1035,2025,加入购物车,2025-09-04
1035,2015,点击,2025-09-12
1035,2013,点击,2025-09-21
1035,2011,收藏,2025-09-17
1036,2015,点击,2025-09-13
1036,2024,加入购物车,2025-09-30
1036,2019,收藏,2025-09-09
1037,2029,加入购物车,2025-09-25
1037,2010,点击,2025-09-21
1037,2000,加入购物车,2025-09-11
1037,2002,加入购物车,2025-09-29
1038,2013,点击,2025-09-27
1038,2004,点击,2025-09-08
1038,2020,点击,2025-09-09
1039,2008,收藏,2025-09-24
1039,2022,点击,2025-09-21
1039,2027,收藏,2025-09-14
1039,2006,收藏,2025-09-12
1040,2029,点击,2025-09-11
1040,2002,收藏,2025-09-25
1040,2023,点击,2025-09-28
1040,2011,收藏,2025-09-27
1040,2027,点击,2025-09-30
1040,2019,收藏,2025-09-13
1041,2013,点击,2025-09-21
1041,2004,购买,2025-09-23
1041,2026,点击,2025-09-25
1041,2029,购买,2025-09-26
1041,2022,加入购物车,2025-09-29
1041,2007,购买,2025-09-29
1041,2001,点击,2025-09-12
1041,2018,购买,2025-09-12
1041,2027,加入购物车,2025-09-08
1042,2013,点击,2025-09-07
1042,2017,购买,2025-09-17
1042,2021,购买,2025-09-09
1042,2019,收藏,2025-09-14
1042,2011,加入购物车,2025-09-12
1042,2002,收藏,2025-09-02
1043,2007,点击,2025-09-22
1043,2022,点击,2025-09-28
1043,2014,收藏,2025-09-09
1043,2008,点击,2025-09-01
1043,2025,收藏,2025-09-16
1043,2020,点击,2025-09-23
1043,2004,点击,2025-09-07
1044,2008,点击,2025-09-16
1044,2022,点击,2025-09-10
1044,2000,点击,2025-09-15
1044,2002,点击,2025-09-17
1044,2024,加入购物车,2025-09-18
1044,2013,点击,2025-09-10
1044,2015,购买,2025-09-10
1044,2012,加入购物车,2025-09-19
1044,2023,购买,2025-09-10
1044,2007,加入购物车,2025-09-20
1045,2023,点击,2025-09-19
1045,2020,点击,2025-09-30
1045,2004,购买,2025-09-27
1045,2015,购买,2025-09-02
1045,2006,加入购物车,2025-09-10
1045,2024,点击,2025-09-27
1045,2017,收藏,2025-09-07
1045,2014,购买,2025-09-22
1045,2002,点击,2025-09-30
1045,2007,点击,2025-09-21
1046,2029,点击,2025-09-01
1046,2008,购买,2025-09-23
1046,2006,加入购物车,2025-09-25
1047,2029,点击,2025-09-17
1047,2013,点击,2025-09-16
1047,2002,点击,2025-09-17
1047,2007,收藏,2025-09-06
1047,2015,收藏,2025-09-22
1047,2012,点击,2025-09-16
1048,2003,加入购物车,2025-09-03
1048,2007,加入购物车,2025-09-06
1048,2025,购买,2025-09-27
1048,2023,收藏,2025-09-21
1049,2022,收藏,2025-09-28
1049,2013,收藏,2025-09-02
1049,2029,购买,2025-09-22
1049,2009,点击,2025-09-25
